タイトル,キーワード,総合ポイント,文字数,読了時間（分）,URL
"【祝・総合評価２０万突破！】　隠れ転生勇者　～チートスキルと勇者ジョブを隠して第二の人生を楽しんでやる！～
","チート 冒険 ダンジョン ジョブ スキル ユニークスキル クラス召喚 召喚拒否で転生 奴隷 美少女 書籍化 コミカライズ R15 残酷な描写あり 異世界転生 異世界転移
",214180,601361,1203,https://ncode.syosetu.com/n8021hu/
"天才魔術師を弟に持つと人生はこうなる
","魔法 冒険 魔術学校 兄弟 狩人 ハンター 残酷な描写あり
",213868,292871,586,https://ncode.syosetu.com/n8703hn/
"【新章開始！】異世界は猫と共に　～システムエンジニアは失われた古代の魔法理論を解析し、魔法具界に革命を起こす　【書籍２巻2024年12月18日発売！】
","男主人公 魔法xプログラム もふもふ 猫 生産系・クラフト系 魔法具・魔導具 微ざまぁ おっさん・アラサー 貧乏貴族 領地発展 ユニークスキル 成り上がり ESN大賞５ 書籍化 コミカライズ R15 異世界転移
",211924,1068322,2137,https://ncode.syosetu.com/n3803ik/
辺境の老騎士,"残酷な描写あり 仲間との旅 巨大な敵 異世界 出会いと別れ うまい食い物 恋と冒険 成長と老い 魔獣 連綿と続く命 迷宮探索 竜人 グルメ エピック ファンタジー
",211712,1120852,2242,https://ncode.syosetu.com/n5011bc/
オーバーロード：前編,"R15 異世界転移 ＭＭＯ 最強 異世界
",211239,1153987,2308,https://ncode.syosetu.com/n4402bd/
"【書籍化＆コミカライズ】創成魔法の再現者　～『魔法が使えない』と実家を追放された天才少年、魔女の弟子となり正しい方法で全ての魔法を極めます。貴方の魔法は、こうやって使うんですよ？～
","魔法 追放 ざまぁ 成長 成り上がり 主人公最強（予定） 幼馴染み 婚約破棄 美少女 書籍化 R15 残酷な描写あり
",211008,1235472,2471,https://ncode.syosetu.com/n0826gy/
"【WEB版】完璧すぎて可愛げがないと婚約破棄された聖女は隣国に売られる【アニメ化決定！ノベルス7巻12/25発売！】
","女主人公 ハッピーエンド ファンタジー 婚約破棄 バカ王子 聖女 追放 ざまぁ
",210974,330240,661,https://ncode.syosetu.com/n5091gj/
"世界最強の後衛　～迷宮国の新人探索者～
","ハーレム チート 冒険 ファンタジー 迷宮 ギルド 後衛 万能職 スキル応用 女性上司 受付嬢 剣神 巫女 ヴァルキリー リザードマン R15 残酷な描写あり 異世界転生
",210681,1305148,2611,https://ncode.syosetu.com/n4344dy/
"転生したら悪役令嬢だったので引きニートになります
","ほのぼの 女主人公 乙女ゲーム 悪役令嬢 ラブコメ 後半シリアス アイリス大賞６ 書籍化 コミカライズ R15 残酷な描写あり 異世界転生
",209840,1314334,2629,https://ncode.syosetu.com/n8251fq/
田中家、転生する。,"ほのぼの 女主人公 西洋 乙女ゲーム 悪役令嬢 ホームドラマ 猫 虫 モフモフ コメディ R15 残酷な描写あり 異世界転生
",209703,711700,1424,https://ncode.syosetu.com/n1970fg/
"冒険家になろう！　スキルボードでダンジョン攻略(WEB版)
","R15 残酷な描写あり 冒険 現実世界
",208844,818860,1638,https://ncode.syosetu.com/n8618ef/
"勇者パーティを追い出された器用貧乏～パーティ事情で付与術士をやっていた剣士、万能へと至る～【Web版】
","男主人公 チート オリジナル戦記 パーティ追放 いずれ主人公最強 勇者パーティ 剣と魔法の世界 探索者＝冒険者 迷宮＝ダンジョン 書籍化 コミカライズ R15 残酷な描写あり
",208666,1052796,2106,https://ncode.syosetu.com/n7533gt/
"【書籍化・コミカライズ】無自覚な天才少女は気付かない～あらゆる分野で努力しても家族が全く褒めてくれないので、家出して冒険者になりました～
","R15 残酷な描写あり ヒストリカル すれ違い ざまぁ
",208224,710895,1422,https://ncode.syosetu.com/n3032hc/
かわいいコックさん,"異世界 転生？ 憑依?? コメディー 勘違い もふもふ 話に重複部分有り R15は保険 R15 残酷な描写あり 異世界転生
",208115,489074,979,https://ncode.syosetu.com/n7657bb/
"最強陰陽師の異世界転生記　～下僕の妖怪どもに比べてモンスターが弱すぎるんだが～
","男主人公 勇者 西洋 学園 中世 チート 主人公最強 理系陰陽術 奴隷 俺TUEEE 成り上がり ざまぁ(多少) ネット小説大賞七感想 書籍化 R15 残酷な描写あり 異世界転生
",207418,951121,1903,https://ncode.syosetu.com/n1290ff/
"魔石グルメ　～魔物の力を食べたオレは最強！～（Web版）
","人外 学園 チート 魔法 冒険 日常 王族 ハーレム? 魔石食って強くなる 薄いグルメ要素 貴族 主人公最強 成長チート コミカライズ 書籍化 R15 残酷な描写あり 異世界転生
",207170,3514887,7030,https://ncode.syosetu.com/n0610eg/
"悪役令嬢は隣国の王太子に溺愛される
","魔法 乙女ゲーム 悪役令嬢 恋愛 ファンタジー 転生 王子 溺愛 ざまぁ 婚約破棄 妖精 R15 異世界転生
",206981,1109768,2220,https://ncode.syosetu.com/n7864de/
針子の乙女,"残酷な描写あり 異世界転生 転生 手芸乙女 精霊 職人生活？ ある意味技術チート
",206755,125477,251,https://ncode.syosetu.com/n0020by/
"最強の鑑定士って誰のこと？～満腹ごはんで異世界生活～
","ほのぼの 日常 主人公は乙男 チート持ち だけど無双しない モテモテ オカン的な意味で 飯テロ ご都合主義 鑑定要素は１割以下？ 書籍化 コミカライズ 異世界転移
",206519,2732453,5465,https://ncode.syosetu.com/n7216dr/
"僕は婚約破棄なんてしませんからね
","ほのぼの ハッピーエンド 乙女ゲーム 悪役令嬢 ラブコメ 主人公は王子 婚約破棄(全力回避) ラブラブ 転生悪役令嬢 現代知識チート 完結済 追加エピソードあり 書籍化 コミカライズ ボツになった展開集 異世界転生
",205586,535478,1071,https://ncode.syosetu.com/n3708fp/
屋根裏部屋の公爵夫人,"R15 ヒストリカル 強気な女主人公 公爵 そのうち恋愛
",205028,305486,611,https://ncode.syosetu.com/n9587ek/
"没落予定なので、鍛治職人を目指す
","異世界転生 身分差 悪役令嬢 ラブコメ 悪役転生 サブキャラ 鍛治職人 コメディ
",203785,733800,1468,https://ncode.syosetu.com/n7940cn/
"濁る瞳で何を願う　ハイセルク戦記
","男主人公 オリジナル戦記 伝奇 スプラッター有り 戦記 ダークファンタジー 三人称 血と剣と魔法 転移 転生 書籍化 コミカライズ 残酷な描写あり 異世界転生 異世界転移
",203784,899619,1800,https://ncode.syosetu.com/n6680gq/
"義妹が聖女だからと婚約破棄されましたが、私は妖精の愛し子です
","妖精の愛し子 女主人公 聖女 婚約破棄 ざまぁ ハッピーエンド
",203690,52452,105,https://ncode.syosetu.com/n7311ge/
"北の砦にて　新しい季節　～転生して、もふもふ子ギツネな雪の精霊になりました～
","異世界転生 人外 精霊 モフモフ
",202338,773357,1547,https://ncode.syosetu.com/n9981by/
"【完結】俺は冒険者ギルドの悪徳ギルドマスター～無駄な人材を適材適所に追放してるだけなのに、なぜかめちゃくちゃ感謝されている件「なに？今更ギルドに戻ってきたいだと？まだ早い、君はそこで頑張れるはずだ」
","男主人公 主人公最強 追放 ざまぁ もう遅い まだ早い 鑑定 ギルド 勘違い 溺愛 R15 残酷な描写あり
",202298,511502,1024,https://ncode.syosetu.com/n9607gq/
Only Sense Online,"R15 残酷な描写あり VRMMO SF 男勝りな ＴＳ
",201762,1398060,2797,https://ncode.syosetu.com/n4527bc/
"地味で目立たない私は、今日で終わりにします。
","シリアス ほのぼの 女主人公 西洋 魔法 日常 ハッピーエンド 悪役令嬢 中世風 聖女 婚約破棄 ざまあ(弱い) 幼馴染み 女神 妖精 R15 異世界転生
",201472,700992,1402,https://ncode.syosetu.com/n6902el/
"異世界クラフトぐらし～自由気ままな生産職のほのぼのスローライフ～【WEB版】
","異世界転移 万能な生産スキル 剣と魔法 冒険者・ギルド ほのぼの系 職業もの 男主人公 付与魔術 グルメ・料理 素材採取 ハッピーエンド スローライフ コメディ要素あり 書籍化 コミカライズ
",201042,455265,911,https://ncode.syosetu.com/n9693gs/
魔法使いの婚約者,"女主人公 ファンタジー 異世界 剣と魔法の世界 魔法使い 貴族 美形 一人称 王道の脇の王道 転生 アイリス恋愛Ｆ大賞 幼馴染 異世界転生
",200477,511050,1023,https://ncode.syosetu.com/n8262bn/
"魔王になったので、ダンジョン造って人外娘とほのぼのする
","ほのぼの 男主人公 人外 魔王 ダンジョン 幼女 人外娘 恋愛 ステータス 人外転生 ダンジョン運営 ダンジョンマスター 擬人化 幼女ホイホイ 書籍化 R15 残酷な描写あり 異世界転生
",199644,2005414,4011,https://ncode.syosetu.com/n2671do/
"婚約破棄から始まる悪役令嬢の監獄スローライフ【Web版】
","R15 残酷な描写あり 悪役令嬢 日常 ほのぼの ハッピーエンド スローライフ？ ねちねちザマアします イイ性格 書籍化作品 コミカライズ発売中 書籍版発売中
",198714,198797,398,https://ncode.syosetu.com/n5577es/
"地獄の沙汰も黄金次第　～会社をクビになったけど、錬金術とかいうチートスキルを手に入れたので人生一発逆転を目指します～
","現代 魔法 冒険 TS 錬金術 魔女 商売 オークション 勘違い 掲示板 スキル 一発逆転 書籍化 R15 残酷な描写あり 異世界転移
",198620,862939,1726,https://ncode.syosetu.com/n1932ia/
">
    【11月コミカライズ発売！】植物魔法チートでのんびり領主生活始めます～前世の知識を駆使して農業したら、逆転人生始まった件～
","ほのぼの 男主人公 チート 内政 異世界 貴族 魔法・スキル 開拓 主人公最強 ギャグ・コメディ もふもふ スローライフ いずれざまぁ エルフ 書籍化 異世界転生
",198078,1437555,2876,https://ncode.syosetu.com/n0229fv/
"【3巻8/2】嫌われ妻は、英雄将軍と離婚したい！いきなり帰ってきて溺愛なんて信じません。
","身分差 日常 ラブコメ アイリス大賞７ 女主人公 政略結婚 溺愛 すれ違い コメディ 騎士 勘違い 書籍化 コミカライズ化
",197634,565293,1131,https://ncode.syosetu.com/n0891gg/
"Ｓランク冒険者パーティーのサポート役をクビになった俺は、念願の錬金術師となりスローライフを送りたい
","R15 残酷な描写あり 異世界 追放 ざまぁ 錬金術 チート 後にスローライフ 複数ヒロイン（予定） 聖女 エルフ ドリル お嬢様 ファンタジー 男主人公 ハッピーエンド モフモフ
",197280,221581,444,https://ncode.syosetu.com/n3017gm/
"【書籍化＆コミカライズ】関係改善をあきらめて距離をおいたら、塩対応だった婚約者が絡んでくるようになりました
","悪役令嬢 婚約破棄 ざまぁ 女主人公 王子 ハッピーエンド
",196282,268169,537,https://ncode.syosetu.com/n1691gn/
"真の実力はギリギリまで隠していようと思う～無能と蔑まれていた野良神と契約した僕はちょっとだけ本気だす
","ハーレム チート 主人公最強 成長 俺TUEEE 幼馴染 ざまぁ 異世界 コミカライズ 騎士 追放 無能 書籍化 ハイファンタジー 成り上がり R15 残酷な描写あり
",196174,418562,838,https://ncode.syosetu.com/n2300gd/
"【WEB版】転生したら１５歳の王妃でした　〜聖女のチートなんて興味がないし、気ままにおいしいごはんを作ります～
","異世界転生 ラブコメ 料理 生産 ほのぼの 魔法 聖女 じれじれ 溺愛 物作り スローライフ 若夫婦 畑 書籍化 コミカライズ
",196008,216627,434,https://ncode.syosetu.com/n5380fm/
セブンス,"R15 残酷な描写あり 冒険 男主人公 西洋 近世 ハーレム スキル 七人のご先祖様
",195533,2181890,4364,https://ncode.syosetu.com/n3250cl/
"学園騎士のレベルアップ！　〜　レベル1000超えの転生者、落ちこぼれクラスに入学。そして、
","男主人公 R15は保険 スキルレベル R15 異世界転生
",195453,615558,1232,https://ncode.syosetu.com/n7942ff/
"不死者の弟子～邪神の不興を買って奈落に落とされた俺の英雄譚～
","異世界転移 主人公最強 無自覚チート 勘違い コメディ
",194163,858044,1717,https://ncode.syosetu.com/n2494fq/
領民0人スタートの辺境領主様,"男主人公 ハッピーエンド 剣と魔法ファンタジー 領主 内政……？ ほのぼの（予定）
",194012,1720924,3442,https://ncode.syosetu.com/n1980en/
"灰色の勇者は人外道を歩み続ける
","人外 魔王 勇者 魔法 冒険 天災 ファンタジー スキル 主人公最強 異世界 他者視点多め 竜王 R15 残酷な描写あり 異世界転移
",193802,1463106,2927,https://ncode.syosetu.com/n0709cd/
"【書籍化＆コミカライズ】わたし、聖女じゃありませんから
","魔法 ハッピーエンド 身分差 聖女 冤罪 ドラゴン ファンタジー ざまぁ 亜人獣人 書籍化 コミカライズ R15 残酷な描写あり
",193476,157873,316,https://ncode.syosetu.com/n2195gj/
誰が勇者を殺したか,"ヒストリカル オリジナル戦記 ミステリー
",193068,73737,148,https://ncode.syosetu.com/n1052ib/
"災悪のアヴァロン【書籍5巻発売中 コミック6巻 12/18発売】
","男主人公 学園 現代 魔法 冒険 ダンジョン スクールラブ ラブコメ VRMMO 成り上がり 俺Tueee 婚約破棄？ 残酷な描写あり 異世界転生 異世界転移
",193024,783632,1568,https://ncode.syosetu.com/n3836gy/
"おっさんはうぜぇぇぇんだよ！ってギルドから追放したくせに、後から復帰要請を出されても遅い。最高の仲間と出会った俺はこっちで最強を目指す！
","R15 残酷な描写あり オリジナル戦記 成り上がり サポーター 中世 ハッピーエンド 主人公最強 おっさん ざまぁ 追放 パーティー ギルド スキル 魔法 群像劇 書籍化
",192050,505977,1012,https://ncode.syosetu.com/n4647gh/
"【書籍化】現代陰陽師は転生リードで無双する
","男主人公 現代 チート 日常 ハッピーエンド 異能力バトル 陰陽師 権力者には擦り寄れ 妖怪 霊力 手探り成長 作戦：家族大事に 彼女0歴=享年+年齢 モルモット 書籍化 R15 残酷な描写あり
",191682,695221,1391,https://ncode.syosetu.com/n5327hj/
"【コミック最終8巻11/25発売】拝啓『氷の騎士とはずれ姫』だったわたしたちへ
","ハッピーエンド 身分差 年の差 ヒストリカル 転生 不器用 傲慢 王族・貴族 政略結婚 騎士 誤解・すれ違い 体格差 虐げられた妻 書籍化 R15 残酷な描写あり
",191452,399812,800,https://ncode.syosetu.com/n1244fr/
"超難関ダンジョンで10万年修行した結果、世界最強に～最弱無能の下剋上～（旧最弱で迫害までされていたけど、超難関迷宮で10万年修行した結果、強くなりすぎて敵がいなくなった）
","R15 残酷な描写あり 主人公最強 勘違い 追放 ざまぁ 男主人公 無双 ダンジョン軟禁 王女 ドラゴンの養女 召喚系アイテム がうがうコン1
",191252,445140,891,https://ncode.syosetu.com/n7798go/
魔導師は平凡を望む,"女主人公 ハッピーエンド ファンタジー コメディー R15 残酷な描写あり 異世界転移
",191147,3681936,7364,https://ncode.syosetu.com/n9734bb/
勇者様のお師匠様,"R15 残酷な描写あり 身分差 ファンタジー 恋愛 魔法 幼馴染
",190934,963614,1928,https://ncode.syosetu.com/n4890bm/
狼領主のお嬢様,"R15 残酷な描写あり 転生 領主 メイド 恋愛 ファンタジー
",190764,414708,830,https://ncode.syosetu.com/n9511dh/
"うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない 。
","R15 残酷な描写あり 恋愛 恋愛要素はだいぶ後 親バカ 時々シリアス 時折コメディー 魔王 そのうち勇者
",190686,725943,1452,https://ncode.syosetu.com/n5530cf/
"よくわからないけれど異世界に転生していたようです
","チート TS 百合 ぽんこつ ぐだぐだ ご都合展開 生産 料理 スローライフ もふもふ R15 残酷な描写あり 異世界転生
",189665,647584,1296,https://ncode.syosetu.com/n4736dz/
"後悔するならご勝手に～あなたの選んだ聖女様とどうぞお幸せに～
","ハッピーエンド 聖女 婚約解消 後悔 ざまぁ 他者視点
",189444,66496,133,https://ncode.syosetu.com/n3941hs/
異世界魔法は遅れてる！,"R15 残酷な描写あり 異世界転移 伝奇 異能力バトル 冒険 現代魔術 異世界の魔法 友人は勇者 戦いは数が持論 戻れないパターン テンプレ 剣と魔法の世界 主人公無双
",189092,1569814,3140,https://ncode.syosetu.com/n3840bt/
"【9/11 コミカライズ連載開始！】誰にも愛されなかった醜穢令嬢が幸せになるまで〜嫁ぎ先は暴虐公爵と聞いていたのですが、実は優しく誠実なお方で気がつくと溺愛されていました〜
","女主人公 チート ハッピーエンド グルメ 契約結婚 公爵様 ざまぁ 姉妹格差 無自覚天才 溺愛 ご飯が美味しい ベッドふっかふっか 義妹 毒親 家族以外みんないい人
",188486,395810,792,https://ncode.syosetu.com/n6062hq/
"【WEB版】生き返った冒険者のクエスト攻略生活　自分だけがもらえるスキルポイントで他の誰より強くなる
","R15 残酷な描写あり 冒険 スキルボード 異世界 ダンジョン そのうち最強 ファンタジー 男主人公 チート 死に戻り
",188416,255791,512,https://ncode.syosetu.com/n3442fz/
バスタード・ソードマン,"冒険 日常 スローライフ バスタードソード R15 残酷な描写あり ボーイズラブ ガールズラブ 異世界転生
",188204,1540419,3081,https://ncode.syosetu.com/n9619hu/
"【Web版】転生したら才能があった件　～異世界行っても努力する～【書籍・コミック好評発売中！】
","ギャグ 男主人公 学園 ハーレム 魔法 ラブコメ 努力 ギルド ざまぁ 迷宮 レベル 成長 ステータス 成長チート ネット小説大賞十 R15 残酷な描写あり 異世界転生
",187986,1898517,3798,https://ncode.syosetu.com/n8562hc/
"クロの戦記　異世界転移した僕が最強なのはベッドの上だけのようです
","ハーレム チート 内政 オリジナル戦記 ファンタジー 異世界 貴族 国家/民族 異世界召喚 エルフ ミノタウルス 奴隷 魔術 蛮族 R15 残酷な描写あり 異世界転移
",187748,1928138,3857,https://ncode.syosetu.com/n5214bb/
昏き宮殿の死者の王【Web版】,"男主人公 西洋 冒険 アンデッド 戦い 成長 変異 進化 死霊魔術 呪い 現地人主人公 ダークファンタジー だけどあまり暗くない 吸血鬼 ヨークシャー・テリア R15 残酷な描写あり
",187556,637269,1275,https://ncode.syosetu.com/n6621fl/
"ダメスキル【自動機能】が覚醒しました〜あれ、ギルドのスカウトの皆さん、俺を「いらない」って言ってませんでした？
","R15 残酷な描写あり 成り上がり ダンジョン/ギルド 最弱から最強 主人公最強 無双/チート 不遇スタート スキル覚醒 ざまぁ/ざまあ 男主人公 手のひらくるーり
",187522,248868,498,https://ncode.syosetu.com/n2757gs/
"報われなかった村人A、貴族に拾われて溺愛される上に、実は持っていた伝説級の神スキルも覚醒した
","男主人公 西洋 中世 ハーレム 魔法 冒険 異世界 ファンタジー 剣と魔法 主人公最強 俺TUEEE ご都合主義 バトル 貴族 成り上がり R15 残酷な描写あり
",187492,697649,1396,https://ncode.syosetu.com/n2631gg/
"【書籍化】ループ中の虐げられ令嬢だった私、今世は最強聖女なうえに溺愛モードみたいです（WEB版）
","女主人公 西洋 魔法 ハッピーエンド ループ 聖女 溺愛 チート 書籍化 コミカライズ
",187398,154688,310,https://ncode.syosetu.com/n7520hg/
"最強職《竜騎士》から初級職《運び屋》になったのに、なぜか勇者達から頼られてます
","勇者 冒険 ファンタジー 竜 初級職 職業 精霊 ビギナー最強 最強 異世界 スキル 龍娘 神 転職 コミカライズしてます R15 残酷な描写あり
",187062,525636,1052,https://ncode.syosetu.com/n4045ed/
"召喚された賢者は異世界を往く　～最強なのは不要在庫のアイテムでした～
","R15 残酷な描写あり 異世界転生 異世界転移 オリジナル戦記 冒険 ギャグ ほのぼの 男主人公 冒険者 チート 賢者 魔法 バーサーカー ハーレム 幼女
",186829,354407,709,https://ncode.syosetu.com/n9275ei/
魔王様、リトライ！,"R15 残酷な描写あり 異世界転移 冒険 ラブコメ ギャグ 魔王 チート ハーレム 成り上がり 勘違い 最強 聖女 獣人 勇者 書籍化 コミカライズ アニメ化
",186212,352481,705,https://ncode.syosetu.com/n6789do/
異世界料理道,"料理 R15 残酷な描写あり 異世界転移
",185854,15529932,31060,https://ncode.syosetu.com/n3125cg/
"社交界の毒婦とよばれる私～素敵な辺境伯令息に腕を折られたので、責任とってもらいます～
","女主人公 ハッピーエンド 悪役令嬢 悪女 溺愛 純愛 令嬢 貴族 ファンタジー 西洋風 恋愛 ざまぁ 書籍化 コミカライズ
",185180,183465,367,https://ncode.syosetu.com/n5182ih/
死にたがりの王女,"転生 王女 身代わり ざまあ R15 異世界転生
",184832,59710,120,https://ncode.syosetu.com/n6203jf/
"破局予定の悪女のはずが、冷徹公爵様が別れてくれません！
","ハッピーエンド 悪役令嬢 溺愛 執着 ラブコメディ 聖女チート 悪女 ざまあ 異世界転生
",184610,306238,613,https://ncode.syosetu.com/n3655ho/
淡海乃海　水面が揺れる時,"時代小説 歴史 戦争 戦国時代 転生 国家/民族
",184505,1619572,3240,https://ncode.syosetu.com/n9975de/
"【書籍化＆コミカライズ】【Web版】義姉の代わりに、余命一年と言われる侯爵子息様と婚約することになりました
","身分差 魔法 溺愛 微ざまぁ ハッピーエンド
",184416,90550,182,https://ncode.syosetu.com/n4976ht/
"ハズレ判定から始まったチート魔術士生活
","シリアス チート ハズレ判定 光属性 闇属性 スケルトン 味方Ｔｕｅｅｅ コメディ ハーレム願望 ご都合展開 リザードマン もふもふコボルト ネット小説大賞六 書籍化 コミカライズ R15 異世界転移
",184334,5038682,10078,https://ncode.syosetu.com/n5782dy/
異世界建国記,"R15 残酷な描写あり 異世界転生 オリジナル戦記 戦争 チート 内政 恋愛 ハーレム ご都合主義 魔法 古代 シリアス 奴隷 黒色火薬最強説 転生 憑依
",184257,1277308,2555,https://ncode.syosetu.com/n7756cy/
【書籍化&amp;コミカライズ】美人の姉が嫌がったのでどう見ても姿絵が白豚の次期伯爵に嫁ぎましたところ,"R15 姉妹格差 白豚 次期伯爵 身代わり花嫁 イメチェン ざまぁ要素有り 騎士 身元調査 ハッピーエンド
",183542,105262,211,https://ncode.syosetu.com/n0423gu/
サモナーさんが行く,"VRMMO 剣と魔法 ステータス スキル 前衛職 後衛職 異世界？ 平行世界？ サモナー？ R15 残酷な描写あり
",183207,12823080,25647,https://ncode.syosetu.com/n4908bv/
"冒険者をクビになったので、錬金術師として出直します！　〜辺境開拓？　よし、俺に任せとけ！
","チート 内政 日常 ざまぁ スローライフ 出直し ポーション アイテム
",182485,902656,1806,https://ncode.syosetu.com/n2199ex/
"ハズレスキル『ガチャ』で追放された俺は、わがまま幼馴染を絶縁し覚醒する　～万能チートスキルをゲットして、目指せ楽々最強スローライフ！～
","R15 追放 成り上がり 現地人主人公 ざまぁ レベル ステータス 異世界 魔法 スキル 主人公最強（予定）
",182480,397052,795,https://ncode.syosetu.com/n2172gb/
"最強呪族転生～チート魔術師のスローライフ～
","異世界転生 ラブコメ 木偶人形無双
",182204,1441819,2884,https://ncode.syosetu.com/n1592db/
"【完結】悪虐聖女ですが、愛する旦那さまのお役に立ちたいです。（とはいえ、溺愛は想定外なのですが）
","西洋 魔法 ハッピーエンド ラブコメ 異世界 ファンタジー 政略結婚 新婚 最強ヒーロー 最強ヒロイン 聖女 ざまあ 悪女 書籍化
",182016,302118,605,https://ncode.syosetu.com/n6592hi/
主人公じゃない！,"ゲーム 転生 英雄 魔法使い ゲーム知識 序盤最強 死亡イベント 女神 異世界転生
",181983,779212,1559,https://ncode.syosetu.com/n3245fy/
"【コミック６巻＆オンラインくじ発売】家から逃げ出したい私が、うっかり憧れの大魔法使い様を買ってしまったら
","魔法 ハッピーエンド 身分差 年の差 ツンデレ 学園生活 ドアマットヒロイン 成長・更生型ヒーロー やきもち焼き 最終的にデレデレ R15
",181882,198787,398,https://ncode.syosetu.com/n8020gn/
"精霊達の楽園と理想の異世界生活
","チート 開拓 ハーレム？ 精霊 御都合主義 冒険者 スローライフ R15 残酷な描写あり 異世界転移
",181564,3055464,6111,https://ncode.syosetu.com/n1996ed/
"断罪された悪役令嬢は、逆行して完璧な悪女を目指す（第七章完結）【書籍、コミカライズ、オーディオブック化】
","ハッピーエンド 悪役令嬢 逆行転生 逆行/人生のやり直し トリップ この悪役令嬢、エロい 溺愛 ざまぁ 王太子殿下 すれ違い 王族 書籍化 コミカライズ 完璧悪女 章完結
",181484,877267,1755,https://ncode.syosetu.com/n6406gp/
"お見合いしたくなかったので、無理難題な条件をつけたら同級生が来た件について【第八巻　スニーカー文庫より3／1発売！】
","R15 残酷な描写あり スクールラブ 日常 青春 ラブコメ ほのぼの 純愛 じれじれ 学園 両片思い ハッピーエンド お前ら早く婚約しろ もうしてた 書籍化
",181152,692466,1385,https://ncode.syosetu.com/n5135gg/
"【Web版】行き着く先は勇者か魔王か　元・廃プレイヤーが征く異世界攻略記
","シリアス 中世 内政 冒険 ダンジョン オリジナル戦記 成り上がり ざまぁ 王道じゃない 勇者と魔王 ハーレム？ 無双（いずれ） ダークファンタジー R15 残酷な描写あり 異世界転生 異世界転移
",181106,2494296,4989,https://ncode.syosetu.com/n4214hb/
"スキル『台所召喚』はすごい！～異世界でごはん作ってポイントためます～
","異世界転移 ファンタジー 料理 チート 台所育成 平凡ＯＬ 騎士 聖女
",180907,463587,928,https://ncode.syosetu.com/n0228eg/
"外れスキル「影が薄い」を持つギルド職員が、実は伝説の暗殺者
","R15 残酷な描写あり 主人公最強 暗殺者 冒険者ギルド 異世界 ご都合主義 セカンドライフ ハッピーエンド 書籍化 コミカライズ
",180728,721028,1443,https://ncode.syosetu.com/n2713ev/
"【書籍・コミカライズ】公爵家の長女でした
","女主人公 ハッピーエンド 婚約破棄 姉妹格差 前世の記憶 長女 異世界転生
",180128,236182,473,https://ncode.syosetu.com/n8817iq/
オーバーロード：後編,R15 異世界転移 MMO 最強 異世界,179601,374462,749,https://ncode.syosetu.com/n1839bd/
"乙女ゲーのモブですらないんだが
","ほのぼの 男主人公 ハッピーエンド 身分差 乙女ゲーム 悪役令嬢 ラブコメ コミカライズ マンガUP!連載中 初恋 両片想い 異世界転生
",179455,669980,1340,https://ncode.syosetu.com/n1313ff/
"俺はまだ、本気を出していない
","R15 残酷な描写あり 異世界 貴族 魔法 内政 主人公最強 剣と魔法 無双 物づくり 知識チート ファンタジー 力を隠しても最強 チート 男主人公 ハーレム 成り上がり
",179268,540514,1082,https://ncode.syosetu.com/n8213ez/
"真の聖女である私は追放されました。だからこの国はもう終わりです【書籍化】
","魔法 ハッピーエンド 婚約破棄 聖女 追放 もふもふ R15 残酷な描写あり
",179020,747510,1496,https://ncode.syosetu.com/n7941gh/
"普通職の異世界スローライフ　～チート（があるくせに小者）な薬剤師の無双（しない）物語～
","日常 ご都合主義 勘違いはさせるもの オッサン 不定期投稿 書籍化 R15 残酷な描写あり 異世界転生 異世界転移
",178918,515510,1032,https://ncode.syosetu.com/n8568fy/
"【WEB版】やり込んだ乙女ゲームの悪役モブですが、断罪は嫌なので真っ当に生きます【書籍＆コミカライズ大好評発売中】
","ほのぼの 男主人公 人外 内政 魔法 冒険 日常 異類婚姻譚 乙女ゲーム 悪役令嬢 ラブコメ ネット小説大賞十 婚約者 異世界恋愛 R15 異世界転生
",178612,2010996,4022,https://ncode.syosetu.com/n7056hm/
"ドロップ！！　～香りの令嬢物語～
","魔法 乙女ゲーム 悪役令嬢 恋愛 薬草 研究・実験好き 悪役 ファンタジー なんちゃって西洋風 ワークライフバランス 物作り 異世界転生
",178533,812406,1625,https://ncode.syosetu.com/n7983cw/
"【書籍絶賛発売中！】無能の悪童王子は生き残りたい～恋愛ＲＰＧの悪役モブに転生したけど、原作無視して最強を目指す～
","男主人公 ハッピーエンド 悪役転生 婚約破棄 恋愛 溺愛 ヤンデレ ヒロイン最強 ざまぁ ざまあ 異世界転生
",178254,706606,1414,https://ncode.syosetu.com/n5277il/
おっさん冒険者ケインの善行,"R15 残酷な描写あり 冒険 異世界 おっさん（アラフォー 男主人公 主人公は人に好かれる 善行 優しい世界 ささやかな幸せ
",178251,549243,1099,https://ncode.syosetu.com/n9551ee/
"悪役令嬢の執事様 破滅フラグは俺が潰させていただきます
","身分差 乙女ゲーム 悪役令嬢 溺愛 執事様 育成 異世界から異世界転生 ラジオドラマ化 破滅回避 悪役令嬢を救う 書籍化
",178071,572423,1145,https://ncode.syosetu.com/n9814fq/
"婚約破棄を狙って記憶喪失のフリをしたら、素っ気ない態度だった婚約者が「記憶を失う前の君は、俺にベタ惚れだった」という、とんでもない嘘をつき始めた
","身分差 ラブコメ ハッピーエンド 溺愛 とにかく愛が重い 様子がおかしい すれ違い 鈍感
",177758,96576,194,https://ncode.syosetu.com/n1887gm/
